"Priority","Lane","Organization","Contact Route","Email Draft ID","Source","Ask","Status","Approval Gate","Notes"
"1","Vehicle quote","United Access","info@unitedaccess.com; 877-501-8267; Wheat Ridge local 303-467-9981","r-7947831820687205026","https://www.unitedaccess.com/us/en/locations.html; https://www.unitedaccess.com/us/en/locations/wheat-ridge-co.html","Written quote for one wheelchair-accessible van purchase, lease, or rental option suitable for Wheatland pilot diligence","Draft created unsent and labeled VCC/Vehicle Funding Sprint","CEO approval before sending; approval before application, deposit, lease, rental, or purchase","Use as fastest email-first vehicle quote path; confirm commercial/business-use permissions before reliance."
"2","Vehicle quote","MobilityWorks Aurora","Contact form; 877-275-4907; Aurora local 720-640-9989","N/A","https://www.mobilityworks.com/locations/wheelchair-vans-for-sale-in-aurora-colorado/","Quote in-stock new/pre-owned wheelchair-accessible van, rental option, financing path, delivery timing, inspection/service records, and commercial-use restrictions","Phone/form ready","CEO approval before contact; approval before application, deposit, lease, rental, or purchase","Website shows sales, rentals, service/maintenance, financing, and delivery options; contact form/phone path only."
"3","Vehicle rental","MobilityWorks Rental Team","Rental contact form; 877-275-4915; roadside/rental support 877-255-8871","N/A","https://www.mobilityworks.com/wheelchair-vans-for-rent/","Confirm short-term accessible rental availability for August 10-15 dry runs or partner demos and business/commercial insurance requirements","Phone/form ready","CEO approval before contact; approval before rental or any paid passenger use","Rental page says businesses and commercial entities can rent, with additional insurance requirements."
"4","Vehicle quote","Frontier Access & Mobility","Contact form; Cheyenne 307-263-7662; Fort Collins 970-223-8267","N/A","https://www.frontieraccess.com/; https://www.frontieraccess.com/contact-us/","Confirm Wyoming/Colorado accessible van sale or rental availability, service support, inspection options, and timing for Wheatland use","Phone/form ready","CEO approval before contact; approval before application, deposit, lease, rental, or purchase","Wyoming-local contact path; no verified public email found."
"5","Authority","WYDOT Regulatory Authority","Phone 307-777-4850; fax 307-777-4772","N/A","https://www.dot.state.wy.us/home/trucking_commercial_vehicles/operating_authority.html; https://www.dot.state.wy.us/home/vehicle_bus_regulation/taxi_shuttle_service.html","Confirm Wheatland scheduled paid passenger path, MC-100, Form E, markings, Wyoming registration, USDOT triggers, and vehicle/passenger-capacity thresholds","Phone-ready","Approval before filing or representing operating authority","Call notes are required before paid service or external launch claims."
"6","Insurance quote","Insureon NEMT / paratransit insurance","Online quote; 800-688-1984","N/A","https://www.insureon.com/livery-business-insurance/non-emergency-medical-transportation-insurance","Request quote guidance for commercial auto, general liability, workers compensation, cyber, E&O, and coverage needs for one accessible van","Phone/form ready","CEO approval before quote submission; approval before binding insurance","Source states licensed agent support and NEMT/paratransit policy categories."
"7","Insurance quote","Progressive Commercial NEMT","Online quote; 1-888-806-9598","N/A","https://www.progressivecommercial.com/commercial-auto-insurance/livery-insurance/non-emergency-medical-transportation-insurance/","Request commercial auto quote path for one accessible van and required underwriting inputs for Wyoming scheduled passenger service","Phone/form ready","CEO approval before quote submission; approval before binding insurance","Use for commercial auto pricing check; confirm whether NEMT/livery use is eligible in Wyoming."
"8","Vehicle financing","Falls Mobility Finance","Phone 888-462-2881; online apply/question path","N/A","https://www.fallsmobility.com/wheelchair-van-loans-for-businesses","Confirm business/NEMT accessible-vehicle financing fit, approval timeline, down payment, guaranty, entity-borrower, registration support, and credit-pull steps","Phone/form ready","Approval before application, credit pull, debt, guaranty, or collateral pledge","Source states financing for LLCs, corporations, nonprofits, group homes, and business NEMT operations."
"9","Wyoming financing","WyoMicro","info@wyomicro.org; 307-460-3943","r-8427544726986723952","https://www.wyomicro.org/; https://www.wyomicro.org/contact","Confirm Wyoming microloan fit for accessible vehicle deposit, insurance deposit, equipment, working capital, and coaching-supported financing path","Draft created unsent and labeled VCC/Vehicle Funding Sprint","CEO approval before sending; approval before application, credit pull, debt, guaranty, or collateral pledge","Source shows Wyoming loans from $500 to $50,000 and public contact email."
"10","Wyoming financing","Wyoming Smart Capital Network","Phone 307-315-8832; Sam Weinstein, Development Loan Officer","N/A","https://www.wyosmartcapital.org/; https://www.wyosmartcapital.org/dcn/wyssbci.nsf/pages/debt-equity.html; https://www.wyosmartcapital.org/dcn/wyssbci.nsf/pages/contact.html","Confirm whether a bank-participation or Rural Development Fund path could support accessible vehicle or working-capital financing","Phone-ready","Approval before lender application, debt, guaranty, or collateral pledge","Likely useful if a bank partner is ready; not a one-week cash assumption."
"11","Wyoming financing","Wyoming Capital Access","Contact form; 307-234-5351; toll-free 1-800-934-5351","N/A","https://www.wyomingcapitalaccess.com/; https://www.wyomingcapitalaccess.com/index.php/contact","Confirm direct loan or SBA 504-related fit for equipment/vehicle or working-capital needs and timing","Phone/form ready","Approval before application, credit pull, debt, guaranty, or collateral pledge","May be slower than dealer financing or microloan path; use as backup/scale financing path."
