"Priority","Workstream","Target / Task","Owner","Due Date","Required Output","Status","Approval Gate"
"1","Funding","Approve seven-day Wheatland funding sprint scope and limits","CEO","2026-08-02","Approved target amount, spending cap, outreach sequence, and signer limits","Prepared","Approval before external asks"
"2","Vehicle","Request three accessible van purchase/lease/rental quotes","CEO / Ops","2026-08-03","Quote file with VIN or rental class, conversion type, ramp/lift, securement, mileage, timing, and deposit terms","Open","Approval before application, deposit, lease, or purchase"
"3","Insurance","Request passenger/NEMT-adjacent insurance quote guidance","CEO / Broker","2026-08-03","Broker quote notes for vehicle type, driver requirements, radius, filings, and exclusions","Open","Approval before binding"
"4","Authority","Call WYDOT Regulatory Section for Wheatland paid passenger service path","CEO / Compliance","2026-08-03","Written call notes on MC-100, Form E, USDOT, markings, inspections, and passenger-capacity triggers","Open","Approval before filing"
"5","Anchor Partner","Ask top healthcare anchor for readiness-fee or support-letter meeting","CEO / Growth","2026-08-04","Meeting request, unmet-need validation, and readiness-fee discussion record","Prepared","Approval before sending"
"6","Sponsor","Ask first sponsor group for ride-block or vehicle-readiness pledge","CEO / Growth","2026-08-05","Sponsor response log and pledge terms if any","Prepared","Approval before sending or accepting terms"
"7","Financing","Request accessible vehicle financing or lease preapproval","CEO / Finance","2026-08-05","Preapproval result, down payment, term, rate, signer/guaranty requirements, and closing timing","Open","Approval before credit pull or application"
"8","Website","Complete BusinessIdentity DNS website cutover to GitHub Pages","CEO / DNS Admin","2026-08-05","Apex GitHub Pages records, www CNAME, HTTPS certificate, and live site verification","Blocked external","Approval and DNS access required"
"9","Workspace","Generate and publish Google Workspace DKIM","CEO / Workspace Admin","2026-08-05","DKIM selector, DNS TXT record, authentication status, and send test evidence","Blocked external","Approval and admin/DNS access required"
"10","Decision Gate","Make August 9 vehicle/funding go/no-go decision","CEO","2026-08-09","Proceed, partner vehicle, rental/lease, purchase, or extend sprint decision memo","Open","Approval before any binding commitment"
"11","Closeout","Complete vehicle possession path by August 15 if gates clear","CEO / Ops","2026-08-15","Use authority, inspection, insurance, driver file, policies, and dry-run record","Open","No paid service until all launch gates clear"
