"Priority","Target","Category","Location / Contact Route","Primary Ask","Source","Status","Approval Gate"
"1","Platte County Hospital / Banner Health","Healthcare anchor","201 14th St Wheatland WY; main phone listed by Banner","Care-coordination call; referral workflow; unmet-need validation; support letter; readiness-fee discussion","https://www.bannerhealth.com/locations/wheatland/platte-county-hospital","Prepared","Approval before contact"
"2","Banner Health Clinic - Wheatland","Healthcare anchor","201 14th St Wheatland WY; clinic phone listed by Banner","Recurring appointment ride-block discussion and care-access workflow","https://www.bannerhealth.com/locations/wheatland/banner-health-clinic-brice","Prepared","Approval before contact"
"3","Platte County Hospital Physical Therapy and Rehabilitation","Healthcare anchor","204 15th St Wheatland WY; phone listed by Banner","Rehab recurring ride demand validation and support-letter discussion","https://www.bannerhealth.com/locations/wheatland/platte-county-hospital-physical-therapy-and-rehabilitation","Prepared","Approval before contact"
"4","Platte County Hospital District","Healthcare / public partner","Hospital district owns Platte County Memorial Hospital and Platte County Legacy Home; coordinator contact listed by county","Local healthcare-access need validation and support-letter discussion","https://www.plattecountywyoming.com/hospital-district","Prepared","Approval before contact"
"5","Platte County Hospital Foundation Board","Healthcare / philanthropy","Facility locations include Platte County Memorial Hospital and Platte County Legacy Home; board contact listed by county","Community-benefit support and sponsor/referral discussion","https://www.plattecountywyoming.com/hospital-board","Prepared","Approval before contact"
"6","Platte County Public Health","Public health","718 9th St Wheatland WY; phone/email listed by Wyoming Department of Health and county","Priority-route input; unmet-need validation; support letter; public-health referral workflow","https://health.wyo.gov/publichealth/nursing/phn-co-offices/","Prepared","Approval before contact"
"7","Platte County Commissioners","County government","800 9th St Wheatland WY; commissioners email and phone listed by county","Work session request; support letter; local-match discussion; county mobility need validation","https://www.plattecountywyoming.com/departments/staff_directory/Commissioners/","Prepared","Approval before contact"
"8","Town of Wheatland","Town government","600 9th St Wheatland WY; clerk email and phone listed by town","Local launch coordination; public-meeting route; community referral visibility","https://townofwheatlandwy.org/contact-us/","Prepared","Approval before contact"
"9","Platte County Emergency Management","Public safety / continuity","800 9th St Wheatland WY; emergency management email/phone listed by county","Weather and emergency operating input; continuity planning","https://www.plattecountywyoming.com/departments/EmergencyManagement","Prepared","Approval before contact"
"10","Platte County Department of Family Services","Human services","1556 Progress Court Wheatland WY; phone listed by Wyoming DFS","Human-services transportation barrier validation and referral limits","https://dfs.wyo.gov/about/contact-us/platte-county/","Prepared","Approval before contact"
"11","Services for Seniors - Wheatland Main Office","Senior services","1605 16th St Wheatland WY; phone listed by ADRC / Services for Seniors","Senior rider needs; route feedback; support letter; sponsor-funded ride block","https://search.adrcwyoming.org/search/82831338-66f3-5b3e-bbdd-28e8cf284afd","Prepared","Approval before contact"
"12","Services for Seniors - Guernsey Center","Senior services","100 S Wyoming St Guernsey WY; phone listed by Services for Seniors","Future Platte County expansion demand validation after Wheatland core","https://www.sfswy.org/","Prepared","Approval before contact"
"13","Services for Seniors - Chugwater Center","Senior services","Main & Clay Chugwater WY; phone listed by Services for Seniors","Future south-Platte demand validation after Wheatland core","https://www.sfswy.org/","Prepared","Approval before contact"
"14","Services for Seniors - Glendo Center","Senior services","423 A St Glendo WY; phone listed by Services for Seniors","Future north-Platte demand validation after Wheatland core","https://www.sfswy.org/","Prepared","Approval before contact"
"15","Wyoming Veterans Commission - Platte/Laramie VSO","Veterans partner","State VSO listing shows Platte and Laramie Counties contact route","Veteran ride needs; VSO support letter; grant-partner route discussion","https://www.wyomilitary.wyo.gov/resources/veteran/veterans-commission/veteran-service-officers/","Prepared","Approval before contact"
"16","Wyoming Independent Living","Disability partner","Statewide independent-living organization; official website","Disability-access feedback; ADA-adjacent operating review; support-letter discussion","https://www.wilr.org/","Prepared","Approval before contact"
"17","Platte County Chamber of Commerce","Business / sponsor hub","65 16th St Wheatland WY; phone/email listed by chamber","Sponsor introductions; employer ride-access interest; community visibility","https://plattechamber.com/contactus","Prepared","Approval before contact"
"18","Platte County Economic Development","Economic development / sponsor hub","851 Gilchrist St Wheatland WY; contact listed by PCED","Employer mobility need; sponsor prospects; workforce-access pilot discussion","https://pcedwy.org/contact","Prepared","Approval before contact"
"19","Wyoming Workforce Center - Wheatland","Workforce partner","1958 W Mariposa Parkway Wheatland WY; phone listed by Wyoming DWS","Workforce-access transportation barriers and employer referral opportunities","https://dws.wyo.gov/dws-directory/workforce-center-program-operations-wheatland/","Prepared","Approval before contact"
"20","Platte County School District #1","Education / special-needs community partner","1350 Oak St Wheatland WY; phone listed by district","Family/community transportation-barrier validation and non-school service referral guardrails","https://www.platte1.org/address-phone-no-maps","Prepared","Approval before contact"
