Rank,Phase,Due Date,Task,Owner,Impact Score,Status,Required Output,Approval Required Before Execution,Key Dependencies
1,Immediate,2026-08-03,Pick one pilot geography and service boundary,Executive / Ops,100,Prepared,"Wheatland / Platte County selected; target register, one-page offer, and route-cost model prepared; eligible trip types and radius still need approval",No,None
2,Immediate,2026-08-05,Verify DOCS 8404 LLC state status or decide VCC-only interim path,Governance,98,Not started,Official LLC filing proof or corrected external entity path,Yes,VCC source proof
3,Immediate,2026-08-05,Confirm WYDOT operating authority path,Compliance,98,Prepared,WYDOT/FMCSA call script and decision screen created in launch action packet,No,Pilot geography and vehicle class
4,Immediate,2026-08-07,Request insurance quotes,Risk / Ops,97,Prepared,"Commercial auto, general liability, E&O, abuse/molestation, workers comp, umbrella, cyber/privacy quote request prepared but not sent",Yes before sending,Pilot geography; vehicle strategy; driver standards
5,Immediate,2026-08-07,Select vehicle strategy,Ops / Finance,96,Not started,Accessible van lease/purchase/partner-vehicle option,Yes,Pilot geography; insurance underwriting feedback
5.5,Immediate,2026-08-09,Complete pilot vehicle funding and diligence sprint,Legal / Ops / Finance,94,Prepared,"Quotes, title/use-authority file, inspection path, insurance bindability, financing comparison, sponsor/readiness-fee target, and approval memo",Yes,Vehicle strategy; insurance broker review; partner or dealer quote
6,Immediate,2026-08-07,Complete VCC governance package,Governance,95,Draft ready,"Bylaws, initial consent, officer appointment, stock ledger/cap table ready for approval",Yes,VCC filing proof; officer/shareholder decisions
7,Immediate,2026-08-10,Decide FTA ICAM applicant strategy,Funding,94,Not started,"Direct-vs-partner applicant decision, concept outline, partner list",Yes,Eligible applicant review; anchor partner outreach
8,Immediate,2026-08-10,Launch controlled partner outreach,Growth,93,Prepared,"20 Wheatland / Platte County targets prepared; no outreach sent",Yes,Approved outreach language; pilot geography
9,Immediate,2026-08-10,Launch sponsorship outreach,Growth / Funding,92,Prepared,"Sponsor and business-hub targets included in Wheatland register; no outreach sent",Yes,Approved sponsor package; rate card draft
10,Immediate,2026-08-14,Complete SAM.gov/UEI and Grants.gov readiness,Funding / Compliance,91,Not started,Active UEI/SAM status and grant access,Yes,Governance records; officer approval
11,Immediate,2026-08-15,Build rate card and anchor partner offer,Finance / Growth,90,Prepared,"Route-cost model and one-page pilot offer prepared for internal approval",Yes,Insurance quote assumptions; vehicle cost assumptions
12,Funding Trigger,2026-08-21,Secure one anchor LOI/MOU or paid pilot commitment,Executive / Growth,100,Not started,"Signed LOI/MOU, service agreement, or sponsor pledge",Yes,Partner outreach; MOU template; controlled claims
13,Launch Gate,2026-08-21,Finalize operating manual and driver file,Ops / Compliance,89,Draft ready,"Dispatch, intake, ADA-related, privacy, incident, maintenance, driver checklist",Yes,Insurance requirements; WYDOT requirements
14,Funding Trigger,2026-08-21,Build 90-day budget and 12-month forecast,Finance,88,Draft ready,Startup and operating budget with quote placeholders,No,Insurance and vehicle quote assumptions
15,Grant Path,2026-08-25,Build ICAM proposal shell if viable,Funding,86,Not started,"Coordinated access/mobility management concept, partners, budget",Yes,ICAM applicant strategy; anchor partner support
16,Grant Path,2026-08-11,Evaluate ATTAIN only with a ready public-sector lead,Funding / Partnerships,70,Not started,Go/no-go note,Yes,Public-sector lead; grant-fit review
17,Revenue Path,2026-08-30,Confirm Medicaid/NEMT enrollment path,Compliance / Finance,84,Not started,Wyoming Medicaid provider/billing route memo,No,Entity path; insurance; service model
18,Marketing,2026-08-30,Build marketing/referral packet,Marketing,83,Not started,"Flyer, referral form, capability statement, partner one-pager, website copy",Yes,Approved claims; pilot geography; launch gates
19,Operations,2026-09-04,Hire or identify primary and backup drivers,Ops / HR,82,Not started,"Driver roster, MVR/background process, training plan",Yes,Insurance driver requirements; wage model
20,Launch Gate,2026-09-14,Execute approved filings/contracts/insurance/vehicle steps,Executive / Legal / Ops,95,Not started,"Authority filing, insurance binder, vehicle agreement, service MOU as approved",Yes,Officer approval; quote selection; contract review
21,Operations,2026-09-14,Run dry runs and internal test trips,Ops,81,Not started,Test-trip log and gap list,No,Insurance; vehicle; driver file; operating manual
22,Marketing,2026-09-14,Launch community marketing only after operational gates clear,Marketing,78,Blocked pending gates,"Website update, referral partner emails, local press list, VSO/senior-center flyers",Yes,Insurance; authority; approved claims
23,Launch Gate,2026-09-29,Complete readiness review,Executive / Ops / Compliance,90,Not started,Go/no-go memo,Yes,All launch gates; incident process; dispatch process
24,Pilot Launch,2026-09-29,Start controlled soft launch if gates are complete,Ops,88,Blocked pending gates,First 10-25 rides under controlled partner referral,Yes,Readiness review approval; active coverage and authority
25,Pilot Reporting,2026-10-14,Turn pilot data into funding package,Funding / Ops,92,Not started,"Trip data, unmet need, cost per trip, testimonials, denial log, partner letters",No,Soft launch data; partner reporting permissions
26,Scale Decision,2026-10-30,Make expansion or pause decision,Executive / Finance,80,Not started,"Continue, expand, pivot, or pause memo with funding asks",Yes,90-day data; cash runway; partner renewals
