"Intake ID","Contact Date","Contact Time","Operator","Approval Source","Workstream","Target","Contact Route Used","Contact Person","Contact Result Code","Written Proof Received","Vehicle Path","Funding Path","Authority Impact","Insurance Impact","Vehicle Timing","Amount Or Total Due","Payment Or Deposit Required","Credit Pull Required","Application Required","Insurance Bind Required","Filing Required","Permitted Use","Restriction Or Exclusion","August 9 Countable Proof","August 15 Countable Vehicle Proof","Stop Rule Triggered","Source Document Or Attachment","Logged In 49","Scored In 52","Next Approval Needed","Next Action","Notes"
"A3-001","","","TBD","Pending CEO approval under 62_August_3_Exact_Controlled_Contact_Approval_Packet_2026-08-03.md","Authority","WYDOT Regulatory Section / Motor Vehicle Services","307-777-4850 or mvs@wyo.gov","TBD","TBD","No","All vehicle paths","All funding paths","TBD: authority path not verified","TBD","TBD","TBD","No unapproved payment","No unapproved credit pull","No unapproved application","No unapproved bind","No unapproved filing","TBD","TBD","No until specific authority answer or dated call note exists","No until authority answer supports the intended vehicle path","TBD","TBD","No","No","CEO approval before contact; separate approval before filing or payment","After approval, ask only for authority path, Form E, passenger-capacity, USDOT, markings, registration, and pre-authority limits","Do not represent that paid passenger service is active"
"A3-002","","","TBD","Pending CEO approval under 62_August_3_Exact_Controlled_Contact_Approval_Packet_2026-08-03.md","Insurance","Progressive Commercial","1-888-806-9598 or public quote route","TBD","TBD","No","Rental bridge; lease; purchase; partner vehicle","All funding paths","TBD","TBD: insurance bindability not verified","TBD","TBD","No unapproved payment or premium","No unapproved credit pull","No unapproved application requiring certification","No unapproved bind","No filing request without approval","TBD","TBD","No until appetite, limits, Form E, driver rules, and vehicle treatment are captured","No until insurance path is not blocked for a specific vehicle class","TBD","TBD","No","No","CEO approval before contact; separate approval before quote submission requiring payment or bind","After approval, ask only for eligibility, classification, Form E support, limits, driver rules, and rental/lease/owned treatment","Stop if payment, binding, or certification is requested"
"A3-003","","","TBD","Pending CEO approval under 62_August_3_Exact_Controlled_Contact_Approval_Packet_2026-08-03.md","Insurance","Insureon NEMT / paratransit","800-688-1984 or public quote route","TBD","TBD","No","Rental bridge; lease; purchase; partner vehicle","All funding paths","TBD","TBD: coverage package not verified","TBD","TBD","No unapproved payment or premium","No unapproved credit pull","No unapproved application requiring certification","No unapproved bind","No filing request without approval","TBD","TBD","No until carrier path, coverage lines, driver rules, Form E, and exclusions are captured","No until coverage path is not blocked for a specific vehicle class","TBD","TBD","No","No","CEO approval before contact; separate approval before quote submission requiring payment or bind","After approval, ask only for NEMT/paratransit coverage path and requirements","Stop if payment, binding, certificate, or application certification is requested"
"A3-004","","","TBD","Pending CEO approval under 62_August_3_Exact_Controlled_Contact_Approval_Packet_2026-08-03.md","Rental bridge","Frontier Access & Mobility - Cheyenne","307-263-7662; backup 307-637-7663","TBD","TBD","No","Rental bridge","Bridge cash; sponsor/readiness; exact obligation memo after proof","TBD","TBD","TBD: August 10-15 availability not verified","TBD","No unapproved deposit or card authorization","No unapproved credit pull","No unapproved rental application","No unapproved insurance bind","No filing expected","TBD","TBD","No until availability, total due, permitted use, insurance, mileage, and pickup/delivery are captured","No until vehicle can be controlled by August 15 under approved terms","TBD","TBD","No","No","CEO approval before contact; separate approval before reservation, payment, rental, or passenger use","After approval, ask for August 10-15 accessible rental availability and total due","Highest-priority local rental bridge screen"
"A3-005","","","TBD","Pending CEO approval under 62_August_3_Exact_Controlled_Contact_Approval_Packet_2026-08-03.md","Rental bridge","MobilityWorks Rental Team","877-275-4915 or public rental form","TBD","TBD","No","Rental bridge","Bridge cash; sponsor/readiness; exact obligation memo after proof","TBD","TBD","TBD: August 10-15 availability not verified","TBD","No unapproved deposit or card authorization","No unapproved credit pull","No unapproved rental application","No unapproved insurance bind","No filing expected","TBD","TBD","No until availability, total due, Wyoming use, insurance, mileage, and pickup/delivery are captured","No until vehicle can be controlled by August 15 under approved terms","TBD","TBD","No","No","CEO approval before contact; separate approval before reservation, payment, rental, or passenger use","After approval, ask for August 10-15 accessible rental availability and Wyoming/business-use rules","Backup rental bridge screen"
"A3-006","","","TBD","Pending CEO approval under 62_August_3_Exact_Controlled_Contact_Approval_Packet_2026-08-03.md","Lease","MobilityWorks Commercial","888-466-5504 or public commercial contact route","TBD","TBD","No","Commercial lease","Lease start cash; exact obligation memo after proof","TBD","TBD","TBD: lease availability and timing not verified","TBD","No unapproved deposit or delivery payment","No unapproved credit pull","No unapproved lease application","No unapproved insurance bind","No filing expected until authority/insurance path is approved","TBD","TBD","No until total due, monthly benchmark, credit-precheck point, guaranty, and timing are captured","No until lease can meet August 15 without unapproved application or credit steps","TBD","TBD","No","No","CEO approval before contact; separate approval before application, credit pull, guaranty, deposit, lease, or purchase","After approval, request preliminary fit and timing only","Use only as a low-cash-outlay benchmark until written terms exist"
"A3-007","","","TBD","Pending CEO approval under 62_August_3_Exact_Controlled_Contact_Approval_Packet_2026-08-03.md","Vehicle quote","MobilityWorks vehicle quote path","877-275-4907 or Aurora route in scorecard","TBD","TBD","No","Purchase quote or lease alternative","Financed purchase bridge; cash purchase close; exact obligation memo after proof","TBD","TBD","TBD: release timing not verified","TBD","No unapproved deposit","No unapproved credit pull","No unapproved finance or purchase application","No unapproved insurance bind","No filing expected until authority/insurance path is approved","TBD","TBD","No until stock or comparable unit, total due, release timing, and commercial-use permission are captured","No until available vehicle can be controlled by August 15 under approved terms","TBD","TBD","No","No","CEO approval before contact; separate approval before deposit, financing application, credit pull, reservation, purchase, or lease","After approval, ask whether stock KR692569A or comparable low-cost accessible van can be released by August 15","Do not count Coming Soon inventory until vendor confirms release timing"
"A3-008","","","TBD","Pending CEO approval under 62_August_3_Exact_Controlled_Contact_Approval_Packet_2026-08-03.md","Vehicle quote","United Access rental / Wheat Ridge","877-501-8267 or public rental/purchase route","TBD","TBD","No","Rental; lease; purchase quote","Bridge cash; financed purchase bridge; exact obligation memo after proof","TBD","TBD","TBD: rental or purchase timing not verified","TBD","No unapproved deposit or card authorization","No unapproved credit pull","No unapproved application","No unapproved insurance bind","No filing expected until authority/insurance path is approved","TBD","TBD","No until availability, total due, permitted use, insurance, and timing are captured","No until vehicle can be controlled by August 15 under approved terms","TBD","TBD","No","No","CEO approval before contact; separate approval before application, deposit, reservation, rental, lease, purchase, or public-use claim","After approval, ask for rental or purchase/lease availability and timing","Backup vehicle path"
"A3-009","","","TBD","Pending CEO approval under 62_August_3_Exact_Controlled_Contact_Approval_Packet_2026-08-03.md","Financing","WyoMicro","info@wyomicro.org or 307-460-3943","TBD","TBD","No","All vehicle paths if funds can arrive in time","Microloan; working capital","TBD","TBD","TBD","TBD amount range and timing","No unapproved fee","No unapproved credit pull","No unapproved loan application","No insurance bind expected","No filing expected","TBD","TBD","No until written preliminary fit or dated call note includes amount range, timing, conditions, and credit/application trigger","Only indirectly countable if funds can affect August 9 and support vehicle control by August 15","TBD","TBD","No","No","CEO approval before contact; separate approval before application, credit pull, debt, guaranty, lien, collateral pledge, or loan representation","After approval, ask for preliminary fit, document list, timeline, and credit-pull point only","Inquiry alone is not funding proof"
"A3-010","","","TBD","Pending CEO approval under 62_August_3_Exact_Controlled_Contact_Approval_Packet_2026-08-03.md","Sponsor / readiness","Platte County Chamber and Platte County Economic Development","Existing stale drafts and replacement manifest; do not send without separate approval","TBD","TBD","No","Partner vehicle or readiness support if offered","Sponsor/readiness commitment; local introductions; partner payment path","TBD","TBD","TBD","TBD pledge, readiness fee, or partner commitment","No unapproved invoice or payment request","No credit pull expected","No unapproved funding application","No insurance bind expected","No filing expected","TBD","TBD","No until written amount, timing, permitted use, restrictions, and authority are captured","Only countable if support directly preserves an August 15 vehicle-control path","TBD","TBD","No","No","Separate draft-replacement and send approval required before Gmail draft creation or sending; separate approval before invoice or accepting funds","After authority, insurance, and vehicle facts are grounded, request planning call, sponsor/readiness interest, introductions, or written support path only","Do not promise sponsor recognition or active service"
