"Priority","Workstream","Target","Contact Route","Proof Type Needed","Mandatory Fields","Current Status","Received Date","Vehicle Timing Score 0-5","Funding Score 0-5","Compliance Score 0-5","Total Score","Decision Use","Next Action","Approval Gate"
"1","Authority","WYDOT Regulatory Section / Motor Vehicle Services","Draft r812018179775240945 or 307-777-4850","Written response or dated call notes","MC-100; Form E; passenger capacity; USDOT trigger; registration; markings; pre-authority limits; paid-service boundary","Public source refreshed; not contacted","TBD","TBD","TBD","TBD","TBD","Controls whether any vehicle path can become paid-service ready","After approval, send/call and record authority notes","Approval before send, call, filing, fee, insurance filing, or authority representation"
"2","Insurance","Progressive Commercial","1-888-806-9598 or quote path","Agent notes or quote requirements","Wyoming eligibility; NEMT/livery appetite; Form E support; limits; driver rules; rental/lease treatment; required documents","Public source refreshed; not contacted","TBD","TBD","TBD","TBD","TBD","Controls whether rental/lease/purchase can become launch-relevant","After approval, ask eligibility and Form E questions only","Approval before quote submission requiring payment or binding"
"3","Insurance","Insureon NEMT / paratransit","800-688-1984 or quote path","Agent notes or quote requirements","Commercial auto; GL; workers comp; cyber/privacy; E&O; hired/non-owned auto; Form E capability; exclusions","Not contacted","TBD","TBD","TBD","TBD","TBD","Controls full insurance package path","After approval, ask coverage-path questions only","Approval before quote submission requiring payment or binding"
"4","Rental bridge","Frontier Access & Mobility Cheyenne","307-263-7662 first; 307-637-7663 backup; contact form if needed","Rental availability response or dated call notes","August 10-15 availability; correct contact route; total due; driver age/license/insurance; credit card deposit; mileage; business-use rules; pickup/delivery; cancellation terms","Public source refreshed and triaged; not contacted","TBD","TBD","TBD","TBD","TBD","Closest physical-possession fallback for dry runs and demos","After approval, call Cheyenne first because rental bridge is now the highest-probability August 15 control path","Approval before contact, reservation, payment, rental, or passenger use"
"5","Rental bridge","MobilityWorks Rental Team","877-275-4915 or rental form","Rental quote or dated call notes","August 10-15 availability; side/rear entry; securement; total due; insurance; mileage; business-use rules; pickup/delivery","Public source refreshed; not contacted","TBD","TBD","TBD","TBD","TBD","Fast rental bridge if Wyoming use allowed","After approval, request availability and requirements only","Approval before reservation, payment, rental, or passenger use"
"6","Purchase quote","MobilityWorks Aurora KR692569A","720-640-9989 or 877-275-4907","Written vehicle quote or dated call notes","Release timing; VIN; title/brand; inspection/service history; warranty; commercial-use permission; total due; delivery; financing sequence","Public source refreshed and triaged; Coming Soon; not contacted","TBD","TBD","TBD","TBD","TBD","Strongest current low-cost quote target if release timing, availability, and insurance line up","After approval, confirm whether Coming Soon unit can be released by August 15 without deposit or application","Approval before quote submission requiring payment, deposit, application, financing, purchase, or lease"
"7","Commercial lease","MobilityWorks Commercial","888-466-5504 or contact form","Lease availability response or dated call notes","Vehicle class/VIN; total due at delivery; monthly payment; mileage; term; preliminary fit without credit pull; guaranty; delivery timing","Public source refreshed; not contacted","TBD","TBD","TBD","TBD","TBD","Lowest apparent cash-outlay benchmark if VCC qualifies","After approval, request preliminary fit only","Approval before credit pull, application, vehicle assignment, deposit, lease, or purchase"
"8","Vehicle quote","United Access","Draft r-7947831820687205026 or 877-501-8267","Written quote or timing response","Purchase/lease/rental option; vehicle class/VIN; total due; timing; business-use rules; insurance requirements","Public source refreshed; drafted not sent","TBD","TBD","TBD","TBD","TBD","Backup quote/rental lane","After approval, send exact draft or call for availability","Approval before sending, application, credit pull, reservation, deposit, lease, rental, purchase, or public-use claim"
"9","Financing","WyoMicro","Draft r-8427544726986723952","Written preliminary fit response","Amount range; expected timeline; required documents; application sequence; credit pull timing; collateral/guaranty expectations","Public source refreshed; drafted not sent","TBD","TBD","TBD","TBD","TBD","Potential $500-$50,000 Wyoming microloan lane; inquiry alone is not funding proof","After approval, send exact fit question draft","Approval before sending, application, credit pull, debt, guaranty, lien, or collateral pledge"
"10","Funding","Platte County Chamber","Stale draft r-3004465373696662663; replacement manifest in 54_Gmail_Replacement_Draft_Manifest_2026-08-02.md","Meeting response, pledge interest, or local introduction","Decision maker; meeting date; sponsor/readiness interest; pledge amount if any; restrictions; recognition limits","Drafted not sent; stale attachment audit logged","TBD","TBD","TBD","TBD","TBD","Potential sponsor/readiness introduction lane","After approval, create replacement draft with current vehicle close packet; send only after exact replacement draft approval","Approval before draft replacement, sending, invoice, payment request, restricted funds, sponsor recognition, or service claim"
"11","Funding","Platte County Economic Development","Stale draft r-154759076075875137; replacement manifest in 54_Gmail_Replacement_Draft_Manifest_2026-08-02.md","Meeting response, pledge interest, or partner payment path","Decision maker; meeting date; funding fit; sponsor introductions; pledge amount if any; restrictions","Drafted not sent; stale attachment audit logged","TBD","TBD","TBD","TBD","TBD","Potential economic-development funding and sponsor introduction lane","After approval, create replacement draft with current vehicle close packet; send only after exact replacement draft approval","Approval before draft replacement, sending, invoice, payment request, restricted funds, or service claim"
