"Priority","Lane","Vendor","Vehicle","Public Price / Terms","Stock / VIN","Mileage","Conversion / Entry","Location","Source","Pilot Fit","Fastest Use","Key Risks","Approval Gate","Next Action"
"1","Low-cost purchase candidate","MobilityWorks Aurora","Used 2019 Dodge Grand Caravan SXT","$32,991 public listing; public page showed in stock on August 2, 2026; $500 deposit path shown but not authorized","Stock KR692569A; VIN 2C4RDGCG9KR692569","55,317","Adaptive Vans; side-entry automatic fold-out; prior rental noted on public page","Aurora, CO","https://shop.mobilityworks.com/p/wheelchair-vans/2019-dodge-grand-caravan-adaptive-vans-kr692569a/","Best current public low-price target if inspection, title, commercial-use, and insurance checks pass","Purchase/finance path only after written quote and insurance bindability","Older vehicle; prior rental; condition, warranty, financing, title, inspection, and commercial suitability unknown; public availability can change","Approval before quote submission, deposit, financing, purchase, lease, or public-use representation","Call MobilityWorks Aurora and ask whether KR692569A is still available for Wheatland business-use diligence, without deposit or application."
"2","Commercial purchase candidate","MobilityWorks Commercial / Aurora","2019 Dodge Grand Caravan SE","Request pricing","Stock KR792281; VIN 2C4RDGBG3KR792281","76,852","Rear-entry manual; conversion make listed as Other","Aurora, CO","https://commercial.mobilityworks.com/wheelchair-vans-for-sale/2019-dodge-grand-caravan-other-2c4rdgbg3kr792281/","Possible lower-cost commercial quote path if price and inspection support it","Commercial quote path after price, insurance, and inspection review","Price not public; conversion details limited; higher mileage; commercial passenger suitability must be confirmed","Approval before quote submission, deposit, financing, purchase, lease, or public-use representation","Ask commercial team for price, commercial-use terms, securement details, inspection history, and delivery timing."
"2A","Commercial lease benchmark","MobilityWorks Commercial","2026 Chrysler Voyager commercial vehicle with BraunAbility rear-entry conversion","Public disclosure lists starting lease benchmarks at $999/month for 48 months with 10,000 miles/year or $1,099/month for 48 months with 20,000 miles/year for well-qualified commercial customers; taxes, title, license, freight, and other fees due at delivery","Inventory-specific stock/VIN required","TBD","BraunAbility rear-entry conversion","Commercial inventory network","https://commercial.mobilityworks.com/promotions/","Best current low-cash benchmark if VCC qualifies and a matching unit is available","Lease/preapproval path if commercial credit, insurance, authority, and delivery timing line up by August 9","Subject to credit approval, inventory, residency, mileage limits, fees, excess wear, early termination, and changing terms; not a commitment or quote","Approval before credit pull, lease application, vehicle assignment, deposit, lease signing, or public-use representation","Ask MobilityWorks Commercial for current Chrysler Voyager lease availability, total due at delivery, credit/preapproval sequence, business-use terms, and timing."
"2B","Commercial lease benchmark","MobilityWorks Commercial","2026 Ford Transit commercial vehicle with Driverge rear-entry or side-entry conversion","Public disclosure lists starting lease benchmarks at $1,299/month for 48 months with 15,000 miles/year or $1,399/month for 48 months with 25,000 miles/year for well-qualified commercial customers; taxes, title, license, freight, and other fees due at delivery","Inventory-specific stock/VIN required","TBD","Driverge rear-entry or side-entry conversion","Commercial inventory network","https://commercial.mobilityworks.com/promotions/","Stronger commercial platform benchmark if sponsor/anchor revenue can carry payment and fees","Lease/preapproval path if commercial credit, insurance, authority, and delivery timing line up by August 9","Subject to credit approval, inventory, residency, mileage limits, fees, excess wear, early termination, and changing terms; higher monthly payment than minivan path","Approval before credit pull, lease application, vehicle assignment, deposit, lease signing, or public-use representation","Ask MobilityWorks Commercial for current Ford Transit lease availability, total due at delivery, passenger seating/securement, and Wyoming use timing."
"3","Mid-cost purchase candidate","MobilityWorks Aurora","Used 2025 Chrysler Pacifica Select (New Conversion)","$61,990 public listing","Stock SR554049","41,974","FR Conversions; rear-entry manual fold-out","Aurora, CO","https://www.mobilityworks.com/wheelchair-vans-for-sale/colorado/","Stronger availability/age profile than 2019 options; still likely needs financing","Purchase/finance path if written quote, financing, and insurance line up by August 9","Higher cash/deposit need; rear-entry manual fit and commercial-use permissions must be confirmed","Approval before quote submission, deposit, financing, purchase, lease, or public-use representation","Request written quote including total due, financing estimate, warranty, conversion inspection, and commercial-use permission."
"4","Mid-cost purchase candidate","MobilityWorks Aurora","New 2026 Chrysler Voyager LX","$64,990 public listing","Stock TR269321","2","FR Conversions; rear-entry manual fold-out","Aurora, CO","https://www.mobilityworks.com/wheelchair-vans-for-sale/colorado/","New vehicle may reduce maintenance risk; price still requires financing or large sponsor/bridge stack","Purchase/finance path if financing approval is quick","New vehicle cost; manual rear-entry may not fit all rider profiles; insurance/authority still required","Approval before quote submission, deposit, financing, purchase, lease, or public-use representation","Ask for current total price, delivery timing, commercial-use permissions, and financing/down-payment terms."
"5","Higher-quality purchase candidate","MobilityWorks Aurora","Used 2024 Chrysler Pacifica Touring L","$68,995 public listing","Stock RR187391","1,218","Driverge; side-entry automatic fold-out","Aurora, CO","https://www.mobilityworks.com/wheelchair-vans-for-sale/colorado/; https://www.mobilityworks.com/wheelchair-vans-for-sale/2024-chrysler-pacifica-driverge-2c4rc1bg6rr187391/","Low mileage and side-entry automatic conversion make it operationally attractive if financing works","Purchase/finance path if quote and insurance are strong","Higher total cost; funding stack must be credible by August 9; availability can change","Approval before quote submission, deposit, financing, purchase, lease, or public-use representation","Ask whether RR187391 is available for immediate business-use quote and what deposit holds it."
"6","Commercial van candidate","United Access Wheat Ridge","New 2026 Ford Transit 350 XL","Estimated $86,900 public listing","Stock TKA77844; VIN 1FDAX2C84TKA77844","5","Fenton Mobility commercial ramp; rear lift; rubber floor","Wheat Ridge, CO","https://www.unitedaccess.com/us/en/inventory/co/1fdax2c84tka77844.html","Best apparent commercial-platform fit, but most expensive near-term target","Purchase/lease/finance path only if financing and insurance are fast","High price; details and passenger seating/securement must be confirmed; phone number in listing differs from general site number","Approval before quote submission, deposit, financing, purchase, lease, or public-use representation","Use existing United Access draft and follow up by phone for written quote, seating, securement, commercial use, and delivery timing."
"7","Rental bridge","MobilityWorks Rental Team","Short-term wheelchair-accessible van rental","Rates require quote; public rental page lists CO-Denver/Aurora contact path, rental number (877) 275-4915, side-entry/rear-entry accessible vans, tie-downs, and 150 free miles per day","N/A","N/A","Side-entry and rear-entry rental vans; retractable tie-downs listed on rental page","Aurora / national rental network","https://www.mobilityworks.com/wheelchair-vans-for-rent/","Best bridge if purchase financing cannot close before August 15","Dry runs, demos, route checks, and readiness proof if rental terms allow; no paid service without launch gates","Business/commercial use, compensated passenger use, insurance, mileage overage, availability, and pickup/delivery terms must be confirmed","Approval before rental contact, reservation, payment, or passenger use","Call rental team for August 10-15 availability, business-use rules, insurance requirements, mileage, total cost, and pickup/delivery timing."
"8","Wyoming-local rental/sale fallback","Frontier Access & Mobility","Cheyenne/Fort Collins accessible van rental or sale","Public rental page lists $135/day up to 1 week, $770/week up to 1 month, $2,400/month up to 1 year; tax, delivery, and pickup fees excluded; availability requires call","N/A","N/A","Lowered-floor accessible rental vans; sale/service inventory to be confirmed","Cheyenne, WY / Fort Collins, CO","https://www.frontieraccess.com/; https://www.frontieraccess.com/van-rentals/","Closest known Wyoming-local rental/service fallback","Rental, sale, service-support, or inspection path if primary MobilityWorks/United Access paths slip","Availability, commercial/business use, insurance, mileage overage, pickup/delivery, and passenger-use restrictions unknown; page lists driver over 25, valid license, proof of insurance, credit card deposit, 100 miles/day, and $0.35/mile overage","Approval before contact, reservation, payment, rental, purchase, or public-use representation","Call Cheyenne first for August 10-15 availability and business-use requirements."
