"Priority","Workstream","Organization","Contact Route","Contact Status","Evidence Needed","Response Received","Evidence Strength","Decision Impact","Next Action","Approval Gate"
"1","Authority","WYDOT Regulatory Section / Motor Vehicle Services","Draft r812018179775240945 or 307-777-4850","Not sent/not called","Written response or call notes on MC-100, Form E, passenger count, USDOT, registration, markings, and pre-authority activity limits","None","Missing","Cannot confirm paid-service authority path","Approve and send/call; log response","Approval before send, call, filing, payment, or authority representation"
"2","Insurance","Progressive Commercial NEMT","1-888-806-9598 or quote path","Not called/submitted","Wyoming NEMT/livery eligibility, Form E support, limits, driver rules, rental/lease treatment","None","Missing","Cannot confirm insurance bindability","Approve controlled call/quote questions only","Approval before quote submission or binding"
"3","Insurance","Insureon NEMT / paratransit","800-688-1984 or quote path","Not called/submitted","Coverage path for auto, GL, workers compensation, cyber, E&O, Form E, and quote requirements","None","Missing","Cannot price/bind vehicle path","Approve controlled call/quote questions only","Approval before quote submission or binding"
"4","Lease","MobilityWorks Commercial","888-466-5504 or contact form","Not called/submitted","Commercial lease availability, total due, preliminary fit without credit pull, timing, business-use terms","None","Missing","Cannot select lease path","Approve controlled call/form only","Approval before application, credit pull, reservation, lease, deposit, or purchase"
"5","Rental","MobilityWorks Rental Team","877-275-4915 or rental form","Not called/submitted","August 10-15 rental availability, total due, business-use rules, insurance, mileage, pickup/delivery timing","None","Missing","Cannot select rental bridge","Approve controlled call/form only","Approval before reservation, payment, rental, or passenger use"
"6","Vehicle quote","United Access","Draft r-7947831820687205026","Not sent","Written quote or timing response for accessible purchase, lease, or rental option","None","Missing","Cannot select United Access path","Approve and send exact draft","Approval before sending, application, credit pull, reservation, deposit, lease, rental, purchase, or public-use claim"
"7","Financing","WyoMicro","Draft r-8427544726986723952","Not sent","Preliminary microloan/working-capital fit without application or credit pull","None","Missing","Cannot count microloan path as funding proof","Approve and send exact draft","Approval before sending, application, credit pull, debt, guaranty, lien, or collateral pledge"
"8","Sponsor","Platte County Chamber","Draft r-3004465373696662663","Not sent","Planning call, sponsor interest, local introductions, or written pledge path","None","Missing","Cannot count sponsor path as funding proof","Approve and send exact draft","Approval before sending, invoice, payment request, restricted funds, sponsor recognition, or service claim"
"9","Sponsor / economic development","Platte County Economic Development","Draft r-154759076075875137","Not sent","Planning call, sponsor introductions, funding fit, or partner payment path","None","Missing","Cannot count economic-development path as funding proof","Approve and send exact draft","Approval before sending, invoice, payment request, restricted funds, or service claim"
"10","Fallback rental/sale","Frontier Access & Mobility","307-263-7662 / 970-223-8267","Not called/submitted","Cheyenne/Fort Collins rental/sale availability, business-use terms, insurance, total due, timing","None","Missing","Fallback vehicle path untested","Approve controlled call/form only","Approval before contact, reservation, payment, rental, purchase, or public-use claim"
"11","Fallback rental","Wheelchair Getaways / Cheyenne","866-224-1750 or rental form","Not called/submitted","Cheyenne rental availability, provider assignment, total cost, insurance, business-use rules, timing","None","Missing","Fallback rental bridge untested","Approve controlled call/form only","Approval before rental request, reservation, payment, or passenger use"
"12","Fallback rental/sale","AMS Vans","800-775-8267 / 888-880-8267","Not called/submitted","Wyoming delivery/rental availability, requirements, total delivered cost, business-use eligibility","None","Missing","National delivery fallback untested","Approve controlled call/form only","Approval before rental request, reservation, payment, application, purchase, or passenger use"
"13","Fallback rental/sale","Mobility Auto Group","720-706-1736 / 719-751-6447 / contact@mobilityauto.com","Not called/sent","Denver/Littleton rental/sale availability, ramp/securement details, insurance, business-use rules, timing","None","Missing","Colorado fallback untested","Approve controlled call/email/form only","Approval before contact, reservation, payment, rental, purchase, or public-use claim"
"14","Fallback rental/sale","United Access Colorado Springs","719-590-1400 / 877-203-7817 / 877-501-8267","Not called/submitted","Colorado Springs rental/sale availability, pickup/delivery timing, insurance, business-use terms, total due","None","Missing","Backup United Access path untested","Approve controlled call/form only","Approval before contact, reservation, payment, application, rental, purchase, or passenger use"
