"Priority","Batch","Target","Recipient Or Route","Current Draft Or Action","Subject","Attachment","Purpose","Proof Needed","Earliest Safe Agent Action","Approval Required","Current Status","Notes"
"1","Authority proof","WYDOT Regulatory Section / Motor Vehicle Services","mvs@wyo.gov; 307-777-4850","Existing draft r812018179775240945; phone option","Wheatland scheduled non-emergency passenger service authority questions","None","Confirm operating-authority path and pre-service limits","Written answer or dated call notes covering MC-100, Form E, passenger-capacity, USDOT, markings, registration, and pre-authority limits","Review existing draft; send only if exact draft send approval is granted","Final send approval for draft r812018179775240945 or no-obligation call approval","Ready for approval","No filing, fee, certification, or authority representation"
"2","Insurance proof","Progressive Commercial","1-888-806-9598 or public quote route","Phone or public-form proof path; no draft","TBD","None","Confirm commercial passenger/NEMT/livery appetite, Form E support, limits, driver rules, and rental/lease/owned treatment","Dated call notes or written requirements","Prepare call notes template; contact only after approval","No-obligation call/form approval; separate approval before quote submission requiring payment or bind","Prepared/not contacted","Do not bind coverage or request certificates"
"3","Insurance proof","Insureon NEMT / paratransit","800-688-1984 or public quote route","Phone or public-form proof path; no draft","TBD","None","Confirm coverage package path for auto, general liability, workers compensation, cyber/privacy, E&O, hired/non-owned, and Form E","Dated call notes or written requirements","Prepare call notes template; contact only after approval","No-obligation call/form approval; separate approval before quote submission requiring payment or bind","Prepared/not contacted","Do not certify active service"
"4","Rental bridge","Frontier Access & Mobility - Cheyenne","307-263-7662; backup 307-637-7663","Phone or contact-form proof path; no draft","TBD","None","Confirm August 10-15 accessible rental availability, total due, business-use rules, insurance, mileage, pickup/delivery, and hold conditions","Written response or dated call notes with availability, total due, permitted use, insurance, mileage, pickup/delivery, and reservation conditions","Prepare call notes template; contact only after approval","No-obligation call/form approval; separate approval before reservation, deposit, rental, or passenger use","Prepared/not contacted","Highest-priority local rental bridge"
"5","Rental bridge","MobilityWorks Rental Team","877-275-4915 or rental form","Phone or public-form proof path; no draft","TBD","None","Confirm August 10-15 accessible rental availability, Wyoming use, side/rear entry, securement, total due, mileage, delivery/pickup, insurance, and business-use rules","Written response or dated call notes with availability, vehicle class, total due, insurance, mileage, pickup/delivery, and permitted use","Prepare call notes template; contact only after approval","No-obligation call/form approval; separate approval before reservation, deposit, rental, or passenger use","Prepared/not contacted","Backup rental bridge"
"6","Partner vehicle proof","Platte ParaTransit","307-241-4145; email not verified","No current Gmail draft","TBD","None","Screen referral, support-letter, demonstration/readiness, subcontracted provider, or limited capacity-bridge role","Written answer or dated call notes covering partner role, vehicle, driver, insurance, authority, schedule, payment, data, liability, and approvals","Prepare no-obligation draft only after verified email; phone contact only after approval","Approval before contact; separate approval before MOU, service agreement, dispatch, payment, data sharing, or public claim","Prepared/not contacted","Partner role does not count as vehicle control until written proof meets the evidence standard"
"7","Partner vehicle proof","Services for Seniors - Wheatland Main Office","jeni@sfswy.org; 307-322-3424","Existing draft r-4902884378913390524","Wheatland mobility-access planning request","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Screen unmet-demand data, referral limits, support letter, or future written capacity/support role","Written answer or dated call notes covering eligibility, schedule, vehicle/driver/insurance proof if any capacity role exists, data boundaries, payment/no-cost terms, and public-claims limits","Review existing draft for final send approval or prepare revised partner-capacity draft if needed","Final send approval for existing draft or separate draft-replacement approval","Draft created unsent; send approval required","Do not claim partner capacity without written proof"
"8","Vehicle quote","United Access","info@unitedaccess.com; 877-501-8267","Existing draft r-7947831820687205026 has stale attachment","Wheatland accessible van quote request","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Request rental, lease, or purchase availability, timing, business-use rules, insurance, vehicle class/VIN, and total due","Written quote or dated response with timing, total due, permitted use, insurance, and next approval sequence","Create replacement draft only after exact replacement approval; send only after second approval","Replacement draft approval, then final send approval; separate approval before application, deposit, reservation, rental, lease, or purchase","Stale draft; do not send existing draft","Use current attachment size check before replacement"
"9","Financing fit","WyoMicro","info@wyomicro.org; 307-460-3943","Existing draft r-8427544726986723952 has stale attachment","Wheatland mobility pilot microloan inquiry","output/docx/VCC_Partner_Outreach_Packet_DRAFT.docx","Ask preliminary fit, amount range, timeline, documents, credit-pull point, collateral/guaranty expectations, and whether funds can affect August 9","Written preliminary fit response or dated call notes with amount range, timing, conditions, and application trigger","Create replacement draft only after exact replacement approval; send only after second approval","Replacement draft approval, then final send approval; separate approval before application, credit pull, debt, guaranty, lien, or collateral pledge","Stale draft; do not send existing draft","Inquiry alone is not funding proof"
"10","Sponsor readiness","Platte County Chamber of Commerce","director@plattechamber.com","Existing draft r-3004465373696662663 has stale attachment","Wheatland vehicle-readiness sponsorship packet","output/docx/VCC_Vehicle_Funding_Close_Packet_DRAFT.docx","Request planning call, sponsor/readiness interest, local introductions, or written support path","Meeting response, introduction path, or written pledge/readiness process with amount, timing, permitted use, and restrictions if any","Replace only after authority, insurance, and vehicle facts are grounded or CEO approves sponsor-first approach","Replacement draft approval, then final send approval; separate approval before invoice, payment request, restricted funds, or sponsor recognition","Stale draft; do not send existing draft","Best after vehicle and compliance facts are grounded"
"11","Sponsor readiness","Platte County Economic Development","jyoung@pcedwy.org","Existing draft r-154759076075875137 has stale attachment","Wheatland vehicle-readiness funding packet","output/docx/VCC_Vehicle_Funding_Close_Packet_DRAFT.docx","Request planning call, funding fit, sponsor introductions, letter-of-support path, or partner-payment process","Meeting response, introduction path, funding-fit response, or written pledge/readiness process with amount, timing, permitted use, and restrictions if any","Replace only after authority, insurance, and vehicle facts are grounded or CEO approves sponsor-first approach","Replacement draft approval, then final send approval; separate approval before invoice, payment request, restricted funds, or sponsor recognition","Stale draft; do not send existing draft","Potential local funding path, but no cash proof yet"
